Site_code,Mean_NDVI,WY
DC 17,0.5949000120162960,2017
DC 3,0.7508999705314640,2017
DC 4,0.7900999784469600,2017
DC 19,0.2994000017642980,2017
DC 5,0.7049999833107000,2017
NA,0.692300021648407,2017
DC 6,0.6344000101089480,2017
DC 18,0.4334000051021580,2017
DC 7,0.5340999960899350,2017
DC 8,0.6141999959945680,2017
DC 15,0.5600000023841860,2017
DC 16,0.6018000245094300,2017
DC 9,0.6658999919891360,2017
DC 10,0.478300005197525,2017
DC 14,0.5857999920845030,2017
BR 1,0.7520999908447270,2017
BR 2,0.4058000147342680,2017
BR 3,0.7404000163078310,2017
BR 4,0.7114999890327450,2017
BR 5,0.6733999848365780,2017
BR 6,0.6554999947547910,2017
BR 7,0.52920001745224,2017
BR 9,0.7052000164985660,2017
BR 11,0.5127000212669370,2017
BR 12,0.2809999883174900,2017
BAFB 1C,0.373199999332428,2017
BAFB 2B,0.3257000148296360,2017
BAFB 3C,0.3635999858379360,2017
BR 13,0.44119998812675500,2017
BR 8,0.4867999851703640,2017
DC 1,0.824400007724762,2018
DC 2,0.7868000268936160,2018
DC 13,0.7986999750137330,2018
DC 12,0.7024999856948850,2018
DC 11,0.6818000078201290,2018
DC 17,0.652899980545044,2018
DC 3,0.7613000273704530,2018
DC 4,0.8041999936103820,2018
DC 19,0.43470001220703100,2018
DC 5,0.6919999718666080,2018
NA,0.6680999994277950,2018
DC 6,0.6413999795913700,2018
DC 18,0.4334000051021580,2018
DC 7,0.5371999740600590,2018
DC 8,0.5684999823570250,2018
DC 15,0.5403000116348270,2018
DC 16,0.5960999727249150,2018
DC 9,0.6531999707221990,2018
DC 10,0.46880000829696700,2018
DC 14,0.47200000286102300,2018
BR 1,0.7093999981880190,2018
BR 2,0.3440000116825100,2018
BR 3,0.6668000221252440,2018
BR 4,0.7196999788284300,2018
BR 5,0.6621000170707700,2018
BR 6,0.660099983215332,2018
BR 7,0.5565000176429750,2018
BR 9,0.6887999773025510,2018
BR 11,0.48510000109672500,2018
BR 12,0.3124000132083890,2018
