Site_code,Mean_NDVI,WY
BR 8,0.3346000016,2014
DC 1,0.8574000001,2015
DC 2,0.7907999754,2015
DC 13,0.8154000044,2015
DC 12,0.6865000129,2015
DC 11,0.6561999917,2015
DC 17,0.6028000116,2015
DC 3,0.7214000225,2015
DC 4,0.7871000171,2015
DC 19,0.3287999928,2015
DC 5,0.695900023,2015
NA,0.7225999832,2015
DC 6,0.6559000015,2015
DC 18,0.4573000073,2015
DC 7,0.5806999803,2015
DC 8,0.6000999808,2015
DC 15,0.5616999865,2015
DC 16,0.6011999846,2015
DC 9,0.6208000183,2015
DC 10,0.4744000137,2015
DC 14,0.4938000143,2015
BR 1,0.7014999986,2015
BR 2,0.4566000104,2015
BR 3,0.7131999731,2015
BR 4,0.6837000251,2015
BR 5,0.6499999762,2015
BR 6,0.6607000232,2015
BR 7,0.5584999919,2015
BR 9,0.6431000233,2015
BR 11,0.4462000132,2015
BR 12,0.3506000042,2015
BAFB 1C,0.3707000017,2015
BAFB 2B,0.3643000126,2015
BAFB 3C,0.3864000142,2015
BR 13,0.521600008,2015
BR 8,0.4167999923,2015
DC 1,0.8396999836,2016
DC 2,0.7756999731,2016
DC 13,0.7437999845,2016
DC 12,0.7012000084,2016
DC 11,0.7019000053,2016
DC 17,0.5491999984,2016
DC 3,0.7515000105,2016
DC 4,0.7810999751,2016
DC 19,0.2809999883,2016
DC 5,0.7045000196,2016
NA,0.685100019,2016
DC 6,0.6840000153,2016
DC 18,0.4968999922,2016
DC 7,0.5798000097,2016
DC 8,0.5989999771,2016
DC 15,0.5954999924,2016
DC 16,0.5985000134,2016
DC 9,0.6595000029,2016
DC 10,0.4616999924,2016
DC 14,0.5194000006,2016
BR 1,0.7081999779,2016
BR 2,0.4110000134,2016
BR 3,0.7074999809,2016
BR 4,0.6680999994,2016
BR 5,0.6680999994,2016
BR 6,0.6786999702,2016
BR 7,0.5335000157,2016
BR 9,0.6457999945,2016
BR 11,0.4212000072,2016
BR 12,0.3558999896,2016
BAFB 1C,0.3833000064,2016
BAFB 2B,0.3799999952,2016
BAFB 3C,0.3856000006,2016
BR 13,0.4395000041,2016
BR 8,0.4476000071,2016
DC 1,0.8244000077,2017
DC 2,0.7868000269,2017
DC 13,0.798699975,2017
DC 12,0.7024999857,2017
DC 11,0.6818000078,2017
DC 17,0.6528999805,2017
DC 3,0.7613000274,2017
DC 4,0.8041999936,2017
DC 19,0.4347000122,2017
DC 5,0.6919999719,2017
NA,0.6680999994,2017
DC 6,0.6413999796,2017
DC 18,0.4334000051,2017
DC 7,0.5371999741,2017
DC 8,0.5684999824,2017
DC 15,0.5403000116,2017
DC 16,0.5960999727,2017
DC 9,0.6531999707,2017
DC 10,0.4688000083,2017
DC 14,0.4720000029,2017
BR 1,0.7093999982,2017
BR 2,0.3440000117,2017
BR 3,0.6668000221,2017
BR 4,0.7196999788,2017
BR 5,0.6621000171,2017
BR 6,0.6600999832,2017
BR 7,0.5565000176,2017
BR 9,0.6887999773,2017
BR 11,0.4851000011,2017
BR 12,0.3124000132,2017
BAFB 1C,0.3483999968,2017
BAFB 2B,0.3515999913,2017
BAFB 3C,0.3361999989,2017
BR 13,0.5194000006,2017
BR 8,0.4934000075,2017
DC 1,0.8458999991,2018
DC 2,0.8126000166,2018
DC 13,0.6718999743,2018
DC 12,0.800999999,2018
DC 11,0.6639999747,2018
DC 17,0.594900012,2018
DC 3,0.7508999705,2018
DC 4,0.7900999784,2018
DC 19,0.2994000018,2018
